k, value
207,0.887154
207,0.88379
207,0.883648
207,0.882328
208,0.886403
208,0.888322
208,0.885781
208,0.886869
208,0.892052
208,0.885227
208,0.885858
208,0.881579
208,0.885928
208,0.888306
209,0.888021
209,0.884528
209,0.882563
209,0.887937
209,0.887406
209,0.889158
209,0.892292
209,0.8835
209,0.885405
209,0.88836
210,0.892245
210,0.891728
210,0.889857
210,0.887324
210,0.888056
210,0.889269
210,0.885436
210,0.890908
210,0.885172
210,0.88931
211,0.886003
211,0.891244
211,0.888378
211,0.890418
211,0.893119
211,0.890053
211,0.889528
211,0.893556
211,0.891417
211,0.893342
212,0.891095
212,0.896809
212,0.894133
212,0.892502
212,0.893075
212,0.892713
212,0.891769
212,0.894621
212,0.893722
212,0.891804
213,0.896132
213,0.894077
213,0.89737
213,0.899405
213,0.889444
213,0.89305
213,0.893268
213,0.894526
213,0.896256
213,0.895277
214,0.896007
214,0.895564
214,0.896391
214,0.901042
214,0.894627
214,0.891112
214,0.897268
214,0.896902
214,0.894701
214,0.896009
215,0.893305
215,0.895704
215,0.896925
215,0.899674
215,0.898175
215,0.899162
215,0.898694
215,0.898072
215,0.898613
215,0.894552
216,0.902038
216,0.9001
216,0.897071
216,0.897372
216,0.896127
216,0.8972
216,0.898697
216,0.895249
216,0.89675
216,0.896836
217,0.89975
217,0.903389
217,0.899116
217,0.901538
217,0.903626
217,0.898207
217,0.896852
217,0.900884
217,0.90038
217,0.902919
218,0.90095
218,0.901203
218,0.902069
218,0.905217
218,0.901352
218,0.903768
218,0.902233
218,0.903011
218,0.901536
218,0.901383
219,0.902809
219,0.903426
219,0.903094
219,0.904013
219,0.909162
219,0.898691
